"category","name","company"
"Cardiology/VascularDiseases","Eliquis (apixaban)","Bristol-Myers Squibb "
"Cardiology/VascularDiseases","Juxtapid (lomitapide)","Aegerion Pharmaceuticals "
"Cardiology/VascularDiseases","Vascepa (icosapent ethyl)","Amarin Pharmaceuticals "
"Dermatology","Erivedge (vismodegib)","Genentech "
"Dermatology","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
"Dermatology","Picato (ingenol mebutate) gel","LEO Pharma "
"Dermatology","Sklice (ivermectin) lotion","Sanofi Pasteur "
"Endocrinology","Belviq (lorcaserin hydrochloride)","Arena Pharmaceuticals "
"Endocrinology","Bio-T-Gel (testosterone gel)","Teva Pharmaceutical "
"Endocrinology","Bydureon (exenatide extended-release for injectable suspension)","Amylin "
"Endocrinology","Cometriq (cabozantinib)","Exelixis "
"Endocrinology","Elelyso (taliglucerase alfa)","Pfizer "
"Endocrinology","Jentadueto (linagliptin plus metformin hydrochloride)","Eli Lilly "
"Endocrinology","Korlym (mifepristone)","Corcept Therapeutics "
"Endocrinology","Lucentis (ranibizumab injection)","Genentech "
"Endocrinology","Qsymia (phentermine + topiramate extended-release)","Vivus "
"Endocrinology","Signifor (pasireotide diaspartate)","Novartis "
"Endocrinology","Ultresa (pancrelipase) delayed-release capsules","Aptalis Pharma "
"Endocrinology","Viokace (pancrelipase) tablets","Aptalis Pharma "
"FamilyMedicine","Abraxane (paclitaxel protein-bound particles for injectable suspension)","Celgene "
"FamilyMedicine","Afinitor (everolimus)","Novartis "
"FamilyMedicine","Afinitor (everolimus)","Novartis "
"FamilyMedicine","Aubagio (teriflunomide)","Sanofi Aventis "
"FamilyMedicine","Bydureon (exenatide extended-release for injectable suspension)","Amylin "
"FamilyMedicine","Cometriq (cabozantinib)","Exelixis "
"FamilyMedicine","Cystaran (cysteamine hydrochloride)","Sigma Tau Pharmaceuticals "
"FamilyMedicine","Dymista (azelastine hydrochloride and fluticasone propionate)","Meda Pharmaceuticals Inc "
"FamilyMedicine","Elelyso (taliglucerase alfa)","Pfizer "
"FamilyMedicine","Erivedge (vismodegib)","Genentech "
"FamilyMedicine","Fycompa (perampanel)","Eisai "
"FamilyMedicine","Horizant (gabapentin enacarbil)","GlaxoSmithKline "
"FamilyMedicine","Inlyta (axitinib)","Pfizer "
"FamilyMedicine","Jentadueto (linagliptin plus metformin hydrochloride)","Eli Lilly "
"FamilyMedicine","Jetrea (ocriplasmin)","Thrombogenics "
"FamilyMedicine","Korlym (mifepristone)","Corcept Therapeutics "
"FamilyMedicine","Kyprolis (carfilzomib)","Onyx Pharmaceuticals "
"FamilyMedicine","Linzess (linaclotide)","Forest Labs and Ironwood Pharmaceuticals "
"FamilyMedicine","Lucentis (ranibizumab injection)","Genentech "
"FamilyMedicine","Lyrica (pregabalin)","Pfizer "
"FamilyMedicine","Myrbetriq (mirabegron)","Astellas Pharma US, Inc "
"FamilyMedicine","Natazia (estradiol valerate and estradiol valerate/dienogest)","Bayer "
"FamilyMedicine","Neupro (Rotigotine Transdermal System)","UCB "
"FamilyMedicine","Omontys (peginesatide)","Affymax "
"FamilyMedicine","Oxtellar XR (oxcarbazepine extended release)","Supernus Pharmaceuticals "
"FamilyMedicine","Perjeta (pertuzumab)","Genentech "
"FamilyMedicine","Picato (ingenol mebutate) gel","LEO Pharma "
"FamilyMedicine","Qnasl (beclomethasone dipropionate) nasal aerosol","Teva Pharmaceutical "
"FamilyMedicine","Quillivant XR (methylphenidate hydrochloride)","NextWave Pharmaceuticals "
"FamilyMedicine","Rayos (prednisone) delayed-release tablets","Horizon Pharma "
"FamilyMedicine","Sklice (ivermectin) lotion","Sanofi Pasteur "
"FamilyMedicine","Stendra (avanafil)","Vivus "
